material_id,plant,consumed_qty,consumed_date,work_order_ref
SP-FILT-HYD-10U,PLANT-C,10,2026-04-30,WO-2026-01477
SP-FILT-HYD-10U,PLANT-C,11,2026-07-30,WO-2026-01652
SP-FILT-AIR-STD,PLANT-A,12,2025-02-01,WO-2025-05010
SP-FILT-AIR-STD,PLANT-A,14,2025-05-01,WO-2025-05188
SP-FILT-AIR-STD,PLANT-A,16,2025-08-01,WO-2025-05362
SP-FILT-AIR-STD,PLANT-A,13,2025-11-01,WO-2025-05540
SP-FILT-AIR-STD,PLANT-A,14,2026-02-01,WO-2026-02001
SP-FILT-AIR-STD,PLANT-A,15,2026-05-01,WO-2026-02177
SP-SENS-PROX-M12,PLANT-B,2,2025-03-11,WO-2025-06044
SP-SENS-PROX-M12,PLANT-B,3,2025-08-19,WO-2025-06231
SP-SENS-PROX-M12,PLANT-B,2,2026-01-07,WO-2026-02650
SP-SENS-PROX-M12,PLANT-B,3,2026-06-02,WO-2026-02844
SP-SENS-TEMP-PT100,PLANT-A,1,2025-02-25,WO-2025-07019
SP-SENS-TEMP-PT100,PLANT-A,2,2025-09-08,WO-2025-07254
SP-SENS-TEMP-PT100,PLANT-A,2,2026-03-19,WO-2026-03102
SP-MOTOR-3PH-5HP,PLANT-A,1,2025-04-02,WO-2025-08033
SP-MOTOR-3PH-5HP,PLANT-A,1,2025-11-27,WO-2025-08409
SP-MOTOR-3PH-5HP,PLANT-A,1,2026-06-11,WO-2026-03588
SP-MOTOR-3PH-10HP,PLANT-C,1,2025-05-15,WO-2025-09102
SP-MOTOR-3PH-10HP,PLANT-C,1,2026-02-20,WO-2026-03790
SP-GASKET-FLNG-DN50,PLANT-B,10,2025-01-08,WO-2025-10005
SP-GASKET-FLNG-DN50,PLANT-B,12,2025-06-24,WO-2025-10298
SP-GASKET-FLNG-DN50,PLANT-B,15,2025-12-15,WO-2025-10522
SP-GASKET-FLNG-DN50,PLANT-B,11,2026-06-01,WO-2026-04012
SP-VALVE-BALL-2IN,PLANT-A,2,2025-03-27,WO-2025-11061
SP-VALVE-BALL-2IN,PLANT-A,3,2025-10-09,WO-2025-11402
SP-VALVE-BALL-2IN,PLANT-A,2,2026-05-04,WO-2026-04455
SP-VALVE-SOLENOID-24V,PLANT-C,2,2025-02-18,WO-2025-12028
SP-VALVE-SOLENOID-24V,PLANT-C,3,2025-08-26,WO-2025-12287
SP-VALVE-SOLENOID-24V,PLANT-C,2,2026-04-07,WO-2026-04901
SP-PUMP-CENTRIF-3KW,PLANT-B,1,2025-06-30,WO-2025-13199
SP-PUMP-CENTRIF-3KW,PLANT-B,1,2026-05-22,WO-2026-05230
SP-CONTACTOR-40A,PLANT-A,3,2025-01-22,WO-2025-14009
SP-CONTACTOR-40A,PLANT-A,4,2025-07-14,WO-2025-14233
SP-CONTACTOR-40A,PLANT-A,3,2026-02-09,WO-2026-05411
SP-CONTACTOR-40A,PLANT-A,4,2026-07-01,WO-2026-05699
SP-RELAY-24VDC,PLANT-C,6,2025-04-11,WO-2025-15055
SP-RELAY-24VDC,PLANT-C,8,2025-09-29,WO-2025-15342
SP-RELAY-24VDC,PLANT-C,7,2026-03-15,WO-2026-06011
SP-COUPLING-FLEX-25MM,PLANT-A,2,2025-05-06,WO-2025-16077
SP-COUPLING-FLEX-25MM,PLANT-A,2,2026-01-16,WO-2026-06390
SP-CHAIN-RS50,PLANT-B,3,2025-03-14,WO-2025-17040
SP-CHAIN-RS50,PLANT-B,4,2025-09-02,WO-2025-17301
SP-CHAIN-RS50,PLANT-B,3,2026-04-25,WO-2026-06855
SP-SPROCKET-RS50-20T,PLANT-B,2,2025-03-14,WO-2025-17040
SP-SPROCKET-RS50-20T,PLANT-B,2,2026-04-25,WO-2026-06855
SP-BRG-22212-CC,PLANT-C,1,2025-07-08,WO-2025-18211
SP-BRG-22212-CC,PLANT-C,1,2026-05-29,WO-2026-07120
SP-VFD-15KW,PLANT-A,1,2025-08-13,WO-2025-19267
SP-VFD-15KW,PLANT-A,1,2026-06-18,WO-2026-07566
SP-FUSE-32A,PLANT-A,15,2025-01-05,WO-2025-20002
SP-FUSE-32A,PLANT-A,18,2025-05-19,WO-2025-20205
SP-FUSE-32A,PLANT-A,16,2025-10-13,WO-2025-20455
SP-FUSE-32A,PLANT-A,20,2026-03-08,WO-2026-08014
SP-FUSE-32A,PLANT-A,17,2026-07-11,WO-2026-08299
SP-GEARBOX-HELICAL-2-1,PLANT-C,1,2025-09-24,WO-2025-21388
SP-LUBE-GREASE-EP2,PLANT-B,20,2025-01-15,WO-2025-22012
SP-LUBE-GREASE-EP2,PLANT-B,22,2025-04-15,WO-2025-22190
SP-LUBE-GREASE-EP2,PLANT-B,25,2025-07-15,WO-2025-22366
SP-LUBE-GREASE-EP2,PLANT-B,21,2025-10-15,WO-2025-22540
SP-LUBE-GREASE-EP2,PLANT-B,23,2026-01-15,WO-2026-08801
SP-LUBE-GREASE-EP2,PLANT-B,24,2026-04-15,WO-2026-08977
SP-LUBE-GREASE-EP2,PLANT-B,26,2026-07-15,WO-2026-09155
SP-HOSE-HYD-1IN,PLANT-A,3,2025-02-28,WO-2025-23025
SP-HOSE-HYD-1IN,PLANT-A,4,2025-08-22,WO-2025-23289
SP-HOSE-HYD-1IN,PLANT-A,3,2026-05-08,WO-2026-09402
SP-PLC-CPU-1200,PLANT-A,1,2025-11-05,WO-2025-24478
SP-ENCODER-INC-1024,PLANT-B,1,2025-04-17,WO-2025-25099
SP-ENCODER-INC-1024,PLANT-B,2,2026-02-27,WO-2026-09720
SP-FILT-OIL-SPIN,PLANT-C,10,2025-02-05,WO-2025-26015
SP-FILT-OIL-SPIN,PLANT-C,11,2025-05-05,WO-2025-26198
SP-FILT-OIL-SPIN,PLANT-C,12,2025-08-05,WO-2025-26370
SP-FILT-OIL-SPIN,PLANT-C,10,2025-11-05,WO-2025-26545
SP-FILT-OIL-SPIN,PLANT-C,12,2026-02-05,WO-2026-10033
SP-FILT-OIL-SPIN,PLANT-C,13,2026-05-05,WO-2026-10210
SP-BEARING-PILLOW-UCP205,PLANT-A,3,2025-03-20,WO-2025-27050
SP-BEARING-PILLOW-UCP205,PLANT-A,4,2025-10-02,WO-2025-27397
SP-BEARING-PILLOW-UCP205,PLANT-A,3,2026-05-17,WO-2026-10589
SP-LIMIT-SWITCH-ROLLER,PLANT-C,3,2025-06-09,WO-2025-28166
SP-LIMIT-SWITCH-ROLLER,PLANT-C,4,2026-01-30,WO-2026-10788
