equipment_id,timestamp,metric_name,value,unit
10004521,2026-08-04T05:30:00Z,vibration_velocity,0.0,mm_s
10004521,2026-08-04T05:30:00Z,bearing_temperature,69.1,deg_C
10004521,2026-08-04T05:30:00Z,flow_rate,0,m3_h
10004521,2026-08-04T06:00:00Z,vibration_velocity,0.0,mm_s
10004521,2026-08-04T06:00:00Z,bearing_temperature,65.8,deg_C
10004521,2026-08-04T06:00:00Z,flow_rate,0,m3_h
10004521,2026-08-04T06:30:00Z,vibration_velocity,0.0,mm_s
10004521,2026-08-04T06:30:00Z,bearing_temperature,63.0,deg_C
10004521,2026-08-04T06:30:00Z,flow_rate,0,m3_h
10004521,2026-08-04T07:00:00Z,vibration_velocity,0.0,mm_s
10004521,2026-08-04T07:00:00Z,bearing_temperature,61.2,deg_C
10004521,2026-08-04T07:00:00Z,flow_rate,0,m3_h
10004521,2026-08-04T07:30:00Z,vibration_velocity,0.0,mm_s
10004521,2026-08-04T07:30:00Z,bearing_temperature,59.8,deg_C
10004521,2026-08-04T07:30:00Z,flow_rate,0,m3_h
10004521,2026-08-04T07:45:00Z,vibration_velocity,2.0,mm_s
10004521,2026-08-04T07:45:00Z,bearing_temperature,58.5,deg_C
10004521,2026-08-04T07:45:00Z,flow_rate,338,m3_h
10004521,2026-08-04T08:00:00Z,vibration_velocity,2.1,mm_s
10004521,2026-08-04T08:00:00Z,bearing_temperature,58.6,deg_C
10004521,2026-08-04T08:00:00Z,flow_rate,340,m3_h
