work_order_ref,equipment_id,technician_id,note_text,captured_at
WO-2026-100216,10004560,TECH-1005,"Compressor01 discharge check valve found sticking during PM inspection, not fully seating which was letting a bit of backflow happen on shutdown causing hard restarts. Replaced check valve and gasket set. Flagging as follow-up required since I want someone to recheck restart behavior after a couple full stop/start cycles over the next few days.",2026-08-01 06:50
WO-2026-100217,20003301,TECH-1006,"Press01 clutch/brake was slipping, operator reported delayed stop response which is a safety concern so we prioritized this one. Friction disc was worn down past spec when I measured it with calipers. Replaced disc, adjusted air gap per OEM spec, tested stop time with the tach, now stopping well within the required cycle time.",2026-08-01 05:40
WO-2026-100218,20003312,TECH-1007,"Found the leak on Chiller02, it was at the braze joint on the liquid line like I suspected last week. Brazed the repair, pressure tested with nitrogen to 150 psi and held for 15 min with no drop. Evacuated the system and recharged with 4.5kg of R-134a per nameplate charge. Sight glass clear now, no bubbles.",2026-08-02 08:20
WO-2026-100219,20003318,TECH-1008,"Conv05 gearmotor seized up completely on line2, tried to bar it over by hand and it won't turn. This is beyond a bearing or belt fix, motor housing is hot to the touch even after sitting overnight. Recommending full gearmotor replacement, requesting PN CV5-GM-750 from stores, they don't have one on the shelf so this is on backorder. Line running on the backup short conveyor route for now.",2026-08-02 04:30
WO-2026-100220,20003325,TECH-1007,"HVAC01 belt was cracked and glazed, showing squeal on startup. Replaced belt set A38 and checked sheave alignment with a straightedge, was slightly off so I adjusted the motor sheave position. No more squeal, airflow reading back up to spec at the supply diffuser.",2026-08-02 10:10
WO-2026-100221,10004521,TECH-1009,"Pump01 coupling elastomer insert was cracked and chunks of rubber were flying off during operation, found pieces on the guard. Replaced the insert, checked alignment while it was apart and it's still within tolerance from the last job. Ran up to speed, no more rubber debris and coupling noise is gone.",2026-08-02 03:10
WO-2026-100222,10004532,TECH-1002,"Conv02 photo-eye sensor at the discharge end was giving intermittent false triggers, causing random stops that operators were complaining about all week. Lens was dirty and the mounting bracket had some vibration-induced drift. Cleaned lens, replaced the sensor since it was also getting old, remounted more securely with lock washers. No false trips in a full shift of monitoring.",2026-08-03 07:00
WO-2026-100223,10004555,TECH-1004,"Motor07 came back from the rewind shop after the winding failure we found during teardown last week, wasn't just the bearings after all, there was insulation breakdown on one phase. Installed the rewound motor, new grease nipple fitted, meggered at 55 Mohm which is solid. Ran full load test for an hour, amps balanced across all three phases, temp normal.",2026-08-03 08:45
WO-2026-100224,10004560,TECH-1005,"Compressor01 minute service, mostly just the intake filter which was due. Filter looked dusty but not terrible. Quick swap, logged hours, no other issues found on visual inspection.",2026-08-03 06:15
WO-2026-100225,20003301,TECH-1006,"Press01 tripping on intermittent overload, can't get it to repeat on demand which is frustrating. Checked the obvious stuff, motor amps look normal when it's running fine. Going to put a data logger on the main drive overnight to try to catch the trip event with actual readings. No parts needed yet, still diagnosing.",2026-08-03 13:25
WO-2026-100226,20003312,TECH-1007,"Chiller02 condenser coil was caked with dust and lint, restricting airflow and making the compressor work harder than it should. Cleaned coil with the soft brush and low pressure wash per procedure, condenser approach temp back down to a normal 8C differential. No parts used, just cleaning.",2026-08-03 09:55
WO-2026-100205,10004555,TECH-1009,"Night shift check-in on Motor07 while it was on the do-not-run tag waiting for the bearing kit, just confirming lockout is still in place and tag hasn't been removed. Everything secure, no changes overnight.",2026-07-29 23:10
WO-2026-100208,20003312,TECH-1010,"Picked up the Chiller02 leak search overnight with the electronic sniffer since day shift flagged it as still in progress. Confirmed the leak is at the liquid line braze joint like suspected, marked it clearly with tape for day shift to do the braze repair since I don't have the brazing kit certified on nights.",2026-08-01 01:20
WO-2026-100203,10004541,TECH-1009,"Checked on Gearbox03 overnight since it's still waiting on the seal part, oil level holding ok with the temporary top-off, no major new leakage overnight, just the slow drip we already knew about. Absorbent pad still doing its job.",2026-07-30 22:40
WO-2026-100219,20003318,TECH-1008,"Update on Conv05 gearmotor, stores confirmed the replacement is in transit from the regional warehouse, ETA is a few more days. Backup route conveyor holding up fine but it's slower so we're falling a bit behind on line2 throughput. Flagging to the planner in case we need to expedite shipping.",2026-08-03 05:50
WO-2026-100213,10004541,TECH-1001,"Quick follow-up look at Gearbox03 a day after the seal replacement just to double check for leaks after it had time to run. Bone dry underneath, no seepage at all. Oil level right where it should be. Calling this one fully closed now.",2026-08-02 07:10
